Character	Stories
She-Hulk (Lyra)	Incredible Hulks (2009) #607, MCGUINNESS VARIANT
Bloodstorm	Paradise X Issue 1
Bloodstorm	Paradise X Issue 2
Bloodstorm	Cover #26027
Bloodstorm	Paradise X Issue 3
Pestilence	Die, Mutants, Die!
Pestilence	All Together Now!
Pestilence	For Every Action...
Pestilence	If I Should Die...
Pestilence	You Say You Want Some Evolution?
Pestilence	Masks
Pestilence	Fall of the Mutants
Pestilence	Judgement Day!
Pestilence	Gifts!
Pestilence	Guardian
Pestilence	The Blood of Apocalypse Part One: The Messiah
Doctor Doom (Ultimate)	3 of 3 - Frightful
Doctor Doom (Ultimate)	X-Men (2010) #19, Mc 50th Anniversary Variant
Doctor Doom (Ultimate)	X-Men #19 Interior
Warlock (Technarchy)	Cover #81031
Warlock (Technarchy)	Cover #81037
Warlock (Technarchy)	Interior #81038
Warlock (Technarchy)	Interior #83111
Warlock (Technarchy)	Cover #89149
Warlock (Technarchy)	Cover #91137
Warlock (Technarchy)	New Mutants #25 X-Man Variant
Warlock (Technarchy)	Interior #93786
Warlock (Technarchy)	Interior #94610
Artiee	Amazing Spider-Man (1999) #673
Callisto	Beneath it all
Callisto	Catacombs
Callisto	Cover #27849
Callisto	Rogue
Callisto	Decisions
Callisto	An Age Undreamed Of
Callisto	Raiders of the Lost Temple
Callisto	Warhunt 2
Callisto	Retribution
Callisto	Massacre
Callisto	Psylocke
Callisto	With Malice Toward All
Callisto	Folly's Gambit
Callisto	Where Duty Lies
Callisto	Storm Warnings
Callisto	Dream a Little Dream
Callisto	Scary Monsters
Callisto	The Lower Depths
Callisto	Generation Of Evil
Callisto	The Story Of The Year!
Invisible Woman	5 of 5 - Galactus
Invisible Woman	1 of ? - Distant Music
Invisible Woman	3 of ?
Invisible Woman	3 of 3
Invisible Woman	"THE STUFF OF DREAMS" PART 2 (OF 3) With a diseased Psycho-Man loose somewhere in the city, the very fabric of New York’s realit
Invisible Woman	1 of 2 - Inhumans
Invisible Woman	2 of 2 - Inhumans
Invisible Woman	4 of 4 - Sentry
Invisible Woman	1 of 5 - 5XLS
Invisible Woman	5 of 5 - Bride of the Panther
Invisible Woman	Cover #3848
Invisible Woman	2 of 3 - Civil War
Invisible Woman	4 of 6
Invisible Woman	4 of 6
Invisible Woman	1 of 1
Invisible Woman	1 of 1
Invisible Woman	1 of 1
Invisible Woman	1 of 1
Invisible Woman	1 of 1
Invisible Woman	1 of 1
Mad Thinker	Cover #10178
Mad Thinker	Dearly Beloved…
Mad Thinker	The Monster Among Us!
Mad Thinker	"Whatever Happened to Alicia?!"
Mad Thinker	Payback!
Mad Thinker	Ludwig's Children
Mad Thinker	Sunlight and Shadows
Mad Thinker	A Mind Is a Terrible Thing to Waste!
Mad Thinker	Burn, Namor, Burn
Mad Thinker	What if the Vision had Conquered  the World -- Part II: Dystopia
Mad Thinker	Amazing Spider-Man (1999) #613 - Int
Mad Thinker	Amazing Spider-Man (1999) #613, Variant Edition - Int
Mad Thinker	Interior #81489
Bastion	Darker Destiny
Bastion	Preludes & Nightmares!
Bastion	Target: Bastion
Bastion	Cover #24270
Bastion	Operation Zero Tolerance Interview
Bastion	Dark Horizon
Bastion	Know Thy Enemy
Bastion	Fight And Flight
Bastion	Where No X-Man Has Gone Before!
Bastion	The Story Of The Year!
Bastion	Lost Souls
Bastion	I Had a Dream
Bastion	Operation Zero Tolerance Interview
Bastion	Games of Deceit & Death Part 3
Bastion	On the Verge of Extinction !
Bastion	Operation Zero Tolerance: The Conclusion
Bastion	Roadside Attractions
Bastion	Adrift
Bastion	Primal
Bastion	Space Odyssey
Ka-Zar	The Lost Land of Ka-Zar!
Ka-Zar	The Monster and the Man-Beast!
Ka-Zar	What if...Ka-Zar...were a Middle-Aged Accountant instead of a Savage?
Ka-Zar	This Is A Savage Land
Ka-Zar	Cover #31343
Ka-Zar	My Father, My Enemy
Ka-Zar	[The Legacy of John Rand]
Ka-Zar	Young Ka-Zar
Ka-Zar	[Beasts of the Black River]
Ka-Zar	[War Against the Limbos]
Ka-Zar	[Action In Ethiopia]
Ka-Zar	[Fight Against the Fascists]
Ka-Zar	[The Nazis' Death Gas]
Ka-Zar	[A Visit From Scotland Yard]
Ka-Zar	[Rajah Sarput's Hunt]
Ka-Zar	[Ka-Zar In America]
Ka-Zar	[In the New York Jungle]
Ka-Zar	[Escape From New York]
Ka-Zar	[The Return To Africa]
Ka-Zar	[Showdown With Rajah Sarput]
Death	Ring of Death!
Death	Way of the Warrior
Death	Deadpool (1997) #33
Death	Deadpool (1997) #34
Death	Deadpool (1997) #35
Death	Deadpool (1997) #36
Death	Deadpool (1997) #37
Death	Cover #38623
Death	Origins
Death	Cover #40074
Death	TBOTV: Legends and Lore of the Dark Dimension, Part 1
Death	Death's Greatest Hits
Death	Interior #83111
Death	Cover #91226
Death	Interior #91227
Big Bertha	1 of 4 - 4LXS
Big Bertha	Deadpool (1997) #10
Big Bertha	Deadpool (1997) #11
Karma	Cover #81031
Karma	Cover #81037
Karma	Interior #83111
Karma	Cover #89149
Karma	Cover #91137
Karma	Cover #92428
Karma	New Mutants #25 X-Man Variant
Azazel (Mutant)	How Did I Get Here?
Azazel (Mutant)	X-MEN FIRST CLASS: THE HIGH HAND (2011) #1
Oracle	Where No X-Man Has Gone Before!
Oracle	The Fate of the Phoenix!
Oracle	Survival
Oracle	The Darkest Hour
Oracle	Edie Sawyer Saved My Life
Oracle	Hide-'N'-Seek!
Oracle	The Life That Late I Led...
Oracle	The Path Not Taken
Oracle	Double Death
Oracle	Free Charley
Oracle	Superdestroyer
Young Avengers	Interior #480
Young Avengers	1 of 6
Young Avengers	2 of 6 - Sidekicks
Young Avengers	2 of 6 - Sidekicks
Young Avengers	3 of 6 - Sidekicks
Young Avengers	4 of 6 - Sidekicks
Young Avengers	4 of 6 - Sidekicks
Young Avengers	5 of 6 - Sidekicks
Young Avengers	6 of 6 - Sidekicks
Young Avengers	6 of 6 - Sidekicks
Young Avengers	1 of 2
Young Avengers	2 of 2
Young Avengers	1 of 4
Young Avengers	1 of 4
Young Avengers	2 of 6
Young Avengers	3 of 4 - Family Matters
Young Avengers	4 of 4 - Family Matters
Young Avengers	4 of 4 - Family Matters
Young Avengers	2 of 7 - 7XLS
Young Avengers	3 of 4
Human Torch (Ultimate)	1 of 2 - Human Torch
Human Torch (Ultimate)	"DOOM" PART 5 (OF 6) The fledgling Fantastic Four are coming for the man who has built a small monarchy in the middle of Europe 
Human Torch (Ultimate)	2 of 2 - Think Tank
Human Torch (Ultimate)	1 of 3 - X-Over
Human Torch (Ultimate)	1 of 3 - X-Over
Human Torch (Ultimate)	1 of 3 - Frightful
Human Torch (Ultimate)	3 of 3 - Frightful
Human Torch (Ultimate)	1 of 6 - God War
Human Torch (Ultimate)	6 of 6 - God War
Human Torch (Ultimate)	1 of 5 - Ghosts
Human Torch (Ultimate)	Perpetual Bits
Human Torch (Ultimate)	[Spider-Man & Fantastic Four]
Human Torch (Ultimate)	Ultimate Comics Doom #3
Human Torch (Ultimate)	Cover #92446
Human Torch (Ultimate)	Interior #92447
Pyro	Days of Future Past
Pyro	Cover #16097
Pyro	Betrayal
Pyro	The Razor's Edge Part 2: The Killing Stroke
Pyro	Fallen Angel!
Pyro	A Mother's Eyes
Pyro	Kiss Of Death!
Pyro	Dust To Dust
Pyro	Lost and Found!
Pyro	Cover #22357
Pyro	Sittin' by the Dock of the Bay
Pyro	Spots!
Pyro	Dream's End Part II: Life Decisions
Pyro	Mind Out of Time!
Pyro	Sanction
Pyro	Cover #27865
Pyro	Hell Hath No Fury
Pyro	The Spiral Path
Pyro	The Trial of Magneto
Pyro	Freedom Is a Four-Letter Word
Speed Demon	6 of 6 - One Step Forward
Speed Demon	4 of 6 - Reflections
Speed Demon	1 of 6
Speed Demon	The World is Not for Burning
Speed Demon	story from Superior Spider-Man (2013) #1
Man-Wolf	The Monster Within
Man-Wolf	Captain America (1968) #358
Man-Wolf	Swords And Sorcery Beyond The Stars! Man-Wolf Is Back! Savagely Fighting The Otherwar!
Man-Wolf	Interior #19971
Man-Wolf	Cover #19972
Man-Wolf	Stargod!
Man-Wolf	Cover #24907
Man-Wolf	Appendix to Chapter Eight
Man-Wolf	Man-Wolf
Man-Wolf	Estrangements and Reunions
Man-Wolf	Cover #35456
Man-Wolf	Amazing Spider-Man (1999) #600, 2nd Printing Variant - Int
Man-Wolf	Amazing Spider-Man (1999) #649 - Int
Man-Wolf	Amazing Spider-Man (1999) #648
Hobgoblin (Roderick Kingsley)	5 of 6 - Whatever Happened to the Daughter of Spider-Man? Franklin Richards back-ups
Hobgoblin (Roderick Kingsley)	Shadow of Evils Past
Hobgoblin (Roderick Kingsley)	Now Strikes the Hobgoblin
Hobgoblin (Roderick Kingsley)	Ordeals
Hobgoblin (Roderick Kingsley)	Sacrifice Play
Hobgoblin (Roderick Kingsley)	Cover #13880
Hobgoblin (Roderick Kingsley)	Endings
Hobgoblin (Roderick Kingsley)	Where No X-Man Has Gone Before!
Hobgoblin (Roderick Kingsley)	Cover #21835
Hobgoblin (Roderick Kingsley)	Web-Zingers
Hobgoblin (Roderick Kingsley)	Cover #23830
Hobgoblin (Roderick Kingsley)	Cover #23851
Hobgoblin (Roderick Kingsley)	Deadpool (1997) #35
Hobgoblin (Roderick Kingsley)	Survival
Hobgoblin (Roderick Kingsley)	The Darkest Hour
Hobgoblin (Roderick Kingsley)	History Repeats
Hobgoblin (Roderick Kingsley)	Cover #29667
Hobgoblin (Roderick Kingsley)	Pardoned!
Hobgoblin (Roderick Kingsley)	Cover #29669
Hobgoblin (Roderick Kingsley)	The Demon and the Dead Man
Avalanche	Days of Future Past
Avalanche	Betrayal
Avalanche	The Razor's Edge Part 2: The Killing Stroke
Avalanche	Fallen Angel!
Avalanche	Ambushed!
Avalanche	Promised Vengeance
Avalanche	The Waking
Avalanche	Lost and Found!
Avalanche	Spots!
Avalanche	Dream's End Part II: Life Decisions
Avalanche	Heroes and Villains Part One
Avalanche	Cover #26137
Avalanche	Heroes and Villains Part Two: Treachery
Avalanche	Heroes and Villains Part Three: Foreshadowing
Avalanche	Heroes and Villains Part Four: Full Circle
Avalanche	Mind Out of Time!
Avalanche	Sanction
Avalanche	Cover #27865
Avalanche	Hell Hath No Fury
Avalanche	The Spiral Path
Wild Child (Age of Apocalypse)	Interior #73562
Wild Child (Age of Apocalypse)	Interior #90807
Wild Child (Age of Apocalypse)	Interior #90993
Weapon Omega	Vanguard 4 of 12; Weapon Omega 4 of 12
Weapon Omega	Marvel Comics Presents 1-12 (Weapon Omega story); Omega Flight prequel from Civil War: The Initiative
Multiple Man	Where's Guido?
Multiple Man	The Return of Multiple Man
Multiple Man	Heart of Ice 4 of 4
Multiple Man	X-Cutioner's Song Part 4
Multiple Man	King of Pain
Multiple Man	Shattershot Part 3
Multiple Man	Shattershot Part 3: The Historians of Things to Come
Multiple Man	Cover #51893
Multiple Man	Charon
Multiple Man	What Have You Got to Hide?
Multiple Man	Haven
Multiple Man	X-Factor
Multiple Man	Chaos War: X-Men (2010) #1
Blockbuster	The Gift of Death
Blockbuster	Cover #17047
Blockbuster	Fires of the Night
Blockbuster	Blockbuster!
Blockbuster	Blockbuster!
Blockbuster	Fallen Angel!
Blockbuster	Redemption!
Blockbuster	Inferno, Part the First: Strike the Match
Blockbuster	Inferno, Part the Fourth: Ashes
Blockbuster	The Last Morlock Story
Wildside	When Stryfe Strikes
Wildside	Great X-pectations
Wildside	Snikts and Bones
Wildside	Buried Secret
Wildside	Hard Truths
Wildside	A Force To Be Reckoned With
Wildside	Answers (and Questions)
Wildside	Shadows on the Rock
Wildside	Liberation Through Subjugation
Wildside	The Axe Falls
Wildside	Teapot in a Tempest
Wildside	Girl Talk
Wildside	X-Tenuating Circumstances
Wildside	X-Tenuating Circumstances [Part 2]
Tigra (Greer Nelson)	2 of 3 - Civil War
Tigra (Greer Nelson)	4 of 7 - 7XLS
Tigra (Greer Nelson)	Cover #5886
Tigra (Greer Nelson)	3 of 6 - Ultron; THE INITIATIVE BANNER
Tigra (Greer Nelson)	A Robinson Crusoe in the Negative Zone!
Tigra (Greer Nelson)	Central City Does Not Answer!
Tigra (Greer Nelson)	Betrayal
Tigra (Greer Nelson)	Cover #19963
Tigra (Greer Nelson)	Nightmare's Evolution
Tigra (Greer Nelson)	Cover #23083
Tigra (Greer Nelson)	Ensnared [Slave of Passion]
Tigra (Greer Nelson)	Enraged [Slave of Passion]
Tigra (Greer Nelson)	Enjoined [Slave of Passion]
Tigra (Greer Nelson)	Ensnared [Slave of Passion]
Tigra (Greer Nelson)	A World of Hurt
Tigra (Greer Nelson)	Whatever the Cost!
Tigra (Greer Nelson)	Cover #27816
Tigra (Greer Nelson)	Storm Warning
Tigra (Greer Nelson)	World War Hulk: Front Line (2007) #3
Tigra (Greer Nelson)	Puppet-Master 2 of 4
Proteus	The Dramatic Return of Phoenix!
Proteus	The Power of Proteus
Proteus	Kings of Pain Part 3: Queens of Sacrifice
Proteus	The Cure
Proteus	Frontispiece
Proteus	Kings of Pain Part 4
Magus (Technarch)	Interior #83111
Whiplash (Mark Scarlotti)	Cover #11988
Whiplash (Mark Scarlotti)	The Warrior and the Whip!
Whiplash (Mark Scarlotti)	Carnage at Stark Enterprises!
Whiplash (Mark Scarlotti)	Ashes to Ashes
Whiplash (Mark Scarlotti)	Whiplash Returns!
Whiplash (Mark Scarlotti)	Cover #34493
Whiplash (Mark Scarlotti)	The Warrior and the Whip!
Whiplash (Mark Scarlotti)	The Mask in the Iron Man
Whiplash (Mark Scarlotti)	The Mask in the Iron Man Part Three: His Own Worst Enemy
Whiplash (Mark Scarlotti)	Remote Control [Part 2]
Whiplash (Mark Scarlotti)	Iron Man Gallery
Whiplash (Mark Scarlotti)	Deadpool (1997) #40
Switch	Armageddon Now Part 1: Family Matters
Switch	Battle With the New Hellions Round 1
Switch	Armageddon Now Part Two: Blood & Betrayal
Switch	Armageddon Now Part 3: Hellions Triumphant!
Switch	Armageddon Now Part 4: Rude Awakening
Pip	Aftermath!
Pip	Guile
Pip	Reunion
American Eagle (Jason Strongbow)	The Hunter and the Hunted
American Eagle (Jason Strongbow)	Screams
American Eagle (Jason Strongbow)	Saints and Sinner
American Eagle (Jason Strongbow)	500 Guns
American Eagle (Jason Strongbow)	Just Another Shade of Hate
Supreme Intelligence	Interstellar Intrigues
Supreme Intelligence	The Court Martial of Carol Danvers
Mantis	Cover #14473
Mantis	Your Young Men Shall Slay Visions!
Mantis	Below Us the Battle!
Mantis	Annihilation Conquest: Starlord (2007) #2
Mantis	Shadow War!
Mantis	First Blood
Mantis	In Love & War
Mantis	Shadowplay
Mantis	pin-up
Hedge Knight	Interior #33131
Scarlet Spider (Ben Reilly)	Venom Bomb 2 of 5
Scarlet Spider (Ben Reilly)	Amazing Spider-Man (1999) #608 - Int
Scarlet Spider (Ben Reilly)	Amazing Spider-Man (1999) #608, Djurdjevic 70th Anniversary Variant - Int
Scarlet Spider (Ben Reilly)	Interior #83109
Scarlet Spider (Ben Reilly)	Cover #83208
Scarlet Spider (Ben Reilly)	Interior #93200
Moon Knight	4 of 6 - Master of the Ring
Moon Knight	1 of 6 - Rock Bottom
Moon Knight	1 of 6 - Rock Bottom
Moon Knight	2 of 6 - The Bottom
Moon Knight	3 of 6 - The Bottom
Moon Knight	3 of 6 - The Bottom
Moon Knight	4 of 6 - The Bottom
Moon Knight	4 of 6 - The Bottom
Moon Knight	5 of 6 - The Bottom
Moon Knight	6 of 6 - The Bottom
Moon Knight	6 of 6 - The Bottom
Moon Knight	1 of 6 - Midnight Sun
Moon Knight	1 of 6 - Midnight Sun
Moon Knight	2 of 6 - Midnight Sun
Moon Knight	2 of 6 - Midnight Sun
Moon Knight	3 of 6 - Midnight Sun
Moon Knight	3 of 6 - Midnight Sun
Moon Knight	4 of 6 - Midnight Sun
Moon Knight	Cover #13815
Moon Knight	If the Moonman Should Fall
Ser Duncan	X-Men: Earth's Mutant Heroes #1
Marvel Zombies	1 of 5 xLS
Marvel Zombies	2 of 5 xLS
Marvel Zombies	3 of 5 xLS
Marvel Zombies	4 of 5 xLS
Marvel Zombies	5 of 5 xLS
Starjammers	1 of 12 - Rise and Fall of the Shi-AR Empire
Starjammers	1 of 1 - Series Finale
Starjammers	Interior #2714
Starjammers	Interior #2716
Starjammers	Interior #2718
Starjammers	PART 4 (OF 5) Young Tolo Hawk sees his opportunity for revenge when trouble befalls his captors. But will he be willing to take 
Starjammers	"THE CADET AND THE CORSAIRS" PART 5 (OF 5) The time has come for both Tolo and the Starjammers to decide where their loyalties l
Starjammers	Blight And Fog (Exile Book 2)
Starjammers	Beyond the Call
Starjammers	Essential X-Men Vol. 4 (All-New Edition)
Kitty Pryde	6 of 6 - Enemy of the State
Kitty Pryde	Cover for Astonishing X-Men (2004) #7
Kitty Pryde	1 of 6 - Dangerous
Kitty Pryde	Interior #3308
Kitty Pryde	Cover for Astonishing X-Men (2004) #1, #3309
Kitty Pryde	Interior #3318
Kitty Pryde	“GIFTED” 5 (OF 6)  As demand for the
Kitty Pryde	Cover for Astonishing X-Men (2004) #6
Kitty Pryde	“GIFTED” PART 6 (OF 6) Outnumbered and outgunned, the X-Men are finally brought together as a team by their newest addition – bu
Kitty Pryde	2 of 6 - Dangerous
Kitty Pryde	3 of 6 - Dangerous
Kitty Pryde	4 of 6 - Dangerous
Kitty Pryde	Interior #3332
Kitty Pryde	6 of 6 - Dangerous
Kitty Pryde	6 of 6 - Dangerous
Kitty Pryde	Interior #3337
Kitty Pryde	1 of 6
Kitty Pryde	1 of 6
Kitty Pryde	2 of 6 - Torn
Kitty Pryde	3 of 6 - Torn
Mr. Hyde	4 of 5 - Breakout!
Mr. Hyde	Cover #13842
Mr. Hyde	"Hyde and Go Seek", Sayeth the Cobra!
Mr. Hyde	Arena of No Return!
Mr. Hyde	A Safe Place
Mr. Hyde	Daredevil (1963) #30
Mr. Hyde	If There Should Be a Thunder God
Mr. Hyde	Blind Man's Bluff!
Mr. Hyde	Blind Man's Bluff
Mr. Hyde	Cover #16213
Mr. Hyde	To Fight the Impossible Fight
Mr. Hyde	Cover #16412
Mr. Hyde	Trapped By the Trio of Doom
Mr. Hyde	Cry Vengeance!
Mr. Hyde	The Way of the Snake
Mr. Hyde	Natural Selection
Mr. Hyde	[untitled]
Mr. Hyde	Double Shots
Mr. Hyde	The Big Bang Theory Part 2
U-Go Girl	Cover #38198
U-Go Girl	Exit Wounds
U-Go Girl	Cover #38200
U-Go Girl	Mister Sensitive
U-Go Girl	Cover #38202
U-Go Girl	And Then There Were Six
U-Go Girl	Cover #38204
U-Go Girl	What's One Life?
U-Go Girl	Snikt!
U-Go Girl	Cover #38210
U-Go Girl	Lacuna: Part One: Captain Coconut
U-Go Girl	Cover #38212
U-Go Girl	Lacuna: Part Two: Larry King Has the Flu
U-Go Girl	Cover #38214
U-Go Girl	Tick Tock
U-Go Girl	Cover #38217
U-Go Girl	Edie and Guy Finally Do It
U-Go Girl	Cover #38219
U-Go Girl	One of Us
U-Go Girl	As I Die Lying
George Stacy (Ultimate)	[
George Stacy (Ultimate)	[
George Stacy (Ultimate)	[
George Stacy (Ultimate)	Life Lessons
Electro	Cover #824
Electro	2 of 5 - The Raft
Electro	4 of 5 - Breakout!
Electro	The Return of the Sinister Six Part 1
Electro	The Man Called Electro!
Electro	Cover #15942
Electro	The Evil Menace of Electro!
Electro	From Stage Left, Enter Electro
Electro	Who Guards the Guardsmen?
Electro	Ray of Light
Electro	Cover #25566
Electro	Another Return of the Sinister Six
Electro	[Cover B]
Electro	"...As Dreams are Made on...", Part 2 of 3: In The Nightmare Factory
Electro	[Cover B]
Electro	"...As Dreams are Made on...", Part 2 of 3: In The Nightmare Factory
Electro	Cover #30056
Electro	--Electro Will Be Free!
Electro	Guardian Devil Part 7: The Devil's Demon
Electro	[Mor the Mighty]
Rogue (Ultimate)	Previously ...
Rogue (Ultimate)	Return To Weapon X Part Six
Rogue (Ultimate)	Previously ...
Rogue (Ultimate)	Previously ...
Rogue (Ultimate)	Return To Weapon X Part Four
Rogue (Ultimate)	Previously ...
Rogue (Ultimate)	Return To Weapon X Part Three
Rogue (Ultimate)	Interior #39348
Rogue (Ultimate)	Interior #92447
Mr. Negative	Interior #49031
Mr. Negative	Amazing Spider-Man (1999) #576 - Int
Mr. Negative	1 of 1
Mr. Negative	Amazing Spider-Man (1999) #590 - Int
Mr. Negative	1 of 2 Face Front
Mr. Negative	Amazing Spider-Man (1999) #612 - Int
Mr. Negative	Amazing Spider-Man (1999) #620 - Int
Mr. Negative	Amazing Spider-Man (1999) #621
Mr. Negative	Amazing Spider-Man (1999) #621 - Int
Mr. Negative	Amazing Spider-Man (1999) #612, Variant - Int
Mr. Negative	Amazing Spider-Man (1999) #612, Granov 50/50 Variant - Int
Mr. Negative	Amazing Spider-Man (1999) #642 - Int
Mr. Negative	Amazing Spider-Man (1999) #644
Mr. Negative	Amazing Spider-Man (1999) #620, Deadpool Variant - Int
Mr. Negative	Amazing Spider-Man (1999) #663 - Int
Mr. Negative	Amazing Spider-Man (1999) #664 - Int
Mr. Negative	Interior #85547
Mr. Negative	Spider-Island: Cloak & Dagger (2011) #2 - Int
Armory	1 of 1
Anita Blake	Cover #6285
Anita Blake	2XLS - The First Death 2 of 2
Anita Blake	12XLS 8 of 12
Anita Blake	12XLS 8 of 12
Anita Blake	5XLS 1 of 5
Anita Blake	5XLS 1 of 5
Anita Blake	5XLS 2 of 5
Anita Blake	5XLS 2 of 5
Anita Blake	Cover #54239
Anita Blake	Interior #54240
Anita Blake	Interior From Anita Blake: Circus of the Damned The Ingenue #1
Anita Blake	Anita Blake: Circus of the Damned - The Ingenue #2
Anita Blake	Interior #64287
Anita Blake	Anita Blake: Circus of the Damned The Ingenue (2010) #4
Anita Blake	Anita Blake: Circus of the Damned-The Ingenue #5
Anita Blake	Anita Blake: Circus of the Damned-The Ingenue #5
Anita Blake	Anita Blake: Circus of the Damned Book 3 (2011) #1
Anita Blake	Anita Blake: Circus of the Damned Book 3 (2011) #1
Anita Blake	Anita Blake: Circus of the Damned Book 1 (2011) #1
Anita Blake	Anita Blake: Circus of the Damned - The Scoundrel (2011) #2
Spider-Man (1602)	1 of 5 - Enemy of the Stars
Spider-Man (1602)	Spider-Man 2099
Spider-Man (1602)	Cover #24053
Spider-Man (1602)	Begin the Future History of Spider-Man 2099
Spider-Man (1602)	Behind the Mask
Spider-Man (1602)	Mother's Day
Spider-Man (1602)	State of S.I.E.G.E.
Spider-Man (1602)	Under Siege
Spider-Man (1602)	Thanatos
Spider-Man (1602)	Death From On High
Spider-Man (1602)	Everything is Permitted Nothing is Forbidden... ...In Virtual Unreality
Spider-Man (1602)	Prophet and Loss
Spider-Man (1602)	I've come back... ...to clean up Downtown
Spider-Man (1602)	Boiling Point
Spider-Man (1602)	Whoever Holds This Hammer...
Spider-Man (1602)	The Rise of the Hammer
Spider-Man (1602)	The Fall of the Hammer Part 1 of 5
Spider-Man (1602)	The Hammer Strikes: Chapter One of The Fall Of The Hammer
Spider-Man (1602)	It's Bloodsword vs. Spider-Man 2099
Spider-Man (1602)	Ye Gods
Korg	Incredible Hulk (1999) #96
Korg	Interior #69703
Korg	Interior #71182
Korg	Incredible Hulks (2009) #607, MCGUINNESS VARIANT
Purple Man	4 of 6 - Reflections
Purple Man	Arena of No Return!
Purple Man	Heroes for Hire (2010) #11
Doorman	1 of 4 - 4LXS
Doorman	Deadpool (1997) #10
Doorman	Deadpool (1997) #11
Nomad (Rikki Barnes)	Onslaught Unleashed (2010) #1
Nomad (Rikki Barnes)	Onslaught Unleashed (2010) #1, LIEFELD VARIANT B
Nomad (Rikki Barnes)	Onslaught Unleashed (2010) #1, LIEFELD VARIANT A
Nomad (Rikki Barnes)	Captain America (2004) #606, HEROIC AGE VARIANT
Nomad (Rikki Barnes)	Captain America (2004) #609, WOMEN OF MARVEL VARIANT
May Parker	A Prelude in Red
May Parker	Roberto & Ramon Bachs 2 of 2; Slug: BACK In BLACK
May Parker	Venom: Lethal Protector 4, Spider-Man: Mysterio Manifesto 1
May Parker	Venom: Lethal Protector 5, Spider-Man: Mysterio Manifesto 2
May Parker	Amazing Spider-Man (1999) #579, Villain Variant - Int
May Parker	Amazing Spider-Man (1999) #579 - Int
May Parker	Amazing Spider-Man (1999) #580 - Int
May Parker	Venom: Lethal Protector 6, Spider-Man: Mysterio Manifesto 3
May Parker	Cover #52357
May Parker	Amazing Spider-Man (1999) #591 - Int
May Parker	Amazing Spider-Man (1999) #592 - Int
May Parker	Interior #53219
May Parker	Amazing Spider-Man (1999) #592, Wolverine Art Appreciation Variant - Int
May Parker	Amazing Spider-Man (1999) #600 - Int
May Parker	Interior #53972
May Parker	Amazing Spider-Man (1999) #599 - Int
May Parker	Amazing Spider-Man (1999) #608 - Int
May Parker	Amazing Spider-Man (1999) #613 - Int
May Parker	Amazing Spider-Man (1999) #599, 70s Decade Variant - Int
May Parker	Amazing Spider-Man (1999) #621 - Int
Silver Surfer	Interior #697
Silver Surfer	Incredible Hulk (1999) #95
Silver Surfer	Interior #1605
Silver Surfer	Interior #1741
Silver Surfer	Interior #1773
Silver Surfer	Interior #1973
Silver Surfer	Interior #2020
Silver Surfer	Interior #2022
Silver Surfer	Interior #2024
Silver Surfer	Interior #2026
Silver Surfer	Interior #2028
Silver Surfer	Interior #2030
Silver Surfer	Gabe and Ellie, the most evolved of the Silver Surfer's abducted children, unleash the prophesied cataclysm on Earth. The Silver
Silver Surfer	"REVELATION" PART 8 (OF 8) Finally willing to make the ultimate sacrifice in defense of the Earth, the Silver Surfer battles a p
Silver Surfer	1 of 5
Silver Surfer	2 of 4 - 4XLS
Silver Surfer	4 of 5 XLS
Silver Surfer	Tales to Astonish: Silver Surfer; reprints Silver Surfer #14
Silver Surfer	Annihilation: Silver Surfer (2006) #1
Silver Surfer	Annihilation: Silver Surfer (2006) #2
Union Jack (Brian Falsworth)	1 of
Union Jack (Brian Falsworth)	Avengers/Invaders (2008) #9
Rocket Raccoon	Annihilation Conquest: Starlord (2007) #2
Rocket Raccoon	Annihilation: Conquest (2007) #6
Rocket Raccoon	Interior #50617
Rocket Raccoon	Interior #50619
Rocket Raccoon	Interior #50621
Rocket Raccoon	Interior #50623
Rocket Raccoon	Cover #74276
Rocket Raccoon	Cover #81312 
Rocket Raccoon	Annihilators (2010) #4
Rocket Raccoon	Annihilators #3
Rocket Raccoon	ANNIHILATORS 2 
Rocket Raccoon	ANNIHILATORS 2 DAVIS VARIANT 
Rocket Raccoon	Annihilators #3 (Djurdjevic Variant)
Rocket Raccoon	Thanos Imperative HC
Rocket Raccoon	Annihilators (2010) #4, VARIANT
Rocket Raccoon	Annihilators: Earthfall (2011) #2
Rocket Raccoon	Annihilators: Earthfall (2011) #1
Rocket Raccoon	Cover #96968
Rocket Raccoon	Cover #96972
Cannonball	1 of 3 -
Cannonball	3 of 3 - The First Foursaken
Cannonball	Cover #19847
Cannonball	Days of Future Present Part 4
Cannonball	You Must Remember This
Cannonball	Kings of Pain Part 3: Queens of Sacrifice
Cannonball	Cover #19882
Cannonball	The Saga of Storm: Goddess of Thunder
Cannonball	Cannonball
Cannonball	New Song For Old
Cannonball	Phalanx Covenant: Life Signs Part 1
Cannonball	X-Teams Unite
Cannonball	Brotherhood
Cannonball	Betrayal
Cannonball	Capital Punishment
Cannonball	When Stryfe Strikes
Cannonball	Snikts and Bones
Cannonball	London's Burning
Cannonball	Fear & Loathing Part 3
Cannonball	Shadows
Mary Jane Watson	Cover #1018
Mary Jane Watson	1 of 4 - Skin Deep
Mary Jane Watson	1 of 4 - Skin Deep
Mary Jane Watson	1 of 5 - New Avengers
Mary Jane Watson	1 of 5 - New Avengers
